"111509","焼き豚","ヤキブタ"
"111511","ベーコン","ベ-コン"
"111597","その他加工肉類","ソノタカコウニクルイ"
"1116","練り製品","ネリセイヒン"
"111601","蒲鉾","カマボコ"
"111603","竹輪","チクワ"
"111605","はんぺん","ハンペン"
"111607","揚げ物","アゲモノ"
"111697","その他練り製品","ソノタネリセイヒン"
"1117","漬物・佃煮","ツケモノ,ツクダニ"
"111701","漬物","ツケモノ"
"111703","佃煮","ツクダニ"
"111705","いりぬか・漬け物の素","イリヌカ,ツケモノノモト"
"111797","その他漬物・佃煮","ソノタツケモノ,ツクダニ"
"1118","水物","ミズモノ"
"111801","豆腐","トウフ"
"111803","コンニャク","コンニヤク"
"111805","油揚げ","アブラアゲ"
"111807","納豆","ナツトウ"
"111897","その他水物","ソノタミズモノ"
"1119","惣菜類","ソウザイルイ"
"111901","サラダ","サラダ"
"111903","煮豆","ニマメ"
"111905","和惣菜","ワソウザイ"
"111907","中華惣菜","チユウカソウザイ"
"111909","洋惣菜","ヨウソウザイ"
"111997","その他惣菜","ソノタソウザイ"
"1120","農産乾物","ノウサンカンブツ"
"112001","ゴマ","ゴマ"
"112003","干し椎茸","ホシシイタケ"
"112005","豆類","マメルイ"
"112097","その他農産乾物","ソノタノウサンカンブツ"
"1121","加工水産","カコウスイサン"
"112101","のり","ノリ"
"112105","わかめ","ワカメ"
"112107","昆布","コンブ"
"112109","その他海藻類","ソノタカイソウルイ"
"112111","削り節・かつお節","ケズリブシ,カツオブシ"
"112113","煮干","ニボシ"
"112197","その他加工水産","ソノタカコウスイサン"
"1197","その他加工食品","ソノタカコウシヨクヒン"
"119701","農産加工品","ノウサンカコウヒン"
"119703","水産加工品","スイサンカコウヒン"
"119705","畜産加工品","チクサンカコウヒン"
"119797","その他加工食品","ソノタカコウシヨクヒン"
"12","生鮮食品","セイセンシヨクヒン"
"1201","水産","スイサン"
"120197","その他水産","ソノタスイサン"
"1202","畜産","チクサン"
"120297","その他畜産","ソノタチクサン"
"1203","農産","ノウサン"
"120397","その他農産","ソノタノウサン"
"1297","その他生鮮食品","ソノタセイセンシヨクヒン"
"129797","その他生鮮食品","ソノタセイセンシヨクヒン"
"13","菓子類","カシルイ"
"1301","菓子","カシ"
"130121","キャンディ・キャラメル","キヤンデイ,キヤラメル"
"130123","チョコレ-ト","チヨコレ-ト"
"130125","チュ-インガム","チユ-インガム"
"130127","ビスケット・クッキ-","ビスケツト,クツキ-"
"130129","米菓","ベイカ"
"130131","スナック","スナツク"
"130133","豆菓子","マメガシ"
"130135","玩具菓子","ガングガシ"
"130137","生菓子","ナマガシ"
"130139","半生菓子","ハンナマガシ"
"130141","焼菓子・油菓子","ヤキガシ,アブラガシ"
"130143","菓子セット","カシセツト"
"130198","その他菓子","ソノタカシ"
"1302","デザート・ヨーグルト","デザ-ト,ヨ-グルト"
"130203","デザート類","デザ-トルイ"
"130205","ヨーグルト","ヨ-グルト"
"130297","その他デザート・ヨーグルト","ソノタデザ-ト,ヨ-グ"
"1303","珍味","チンミ"
"130301","農産珍味","ノウサンチンミ"
"130303","水産珍味","スイサンチンミ"
"130305","畜産珍味","チクサンチンミ"
"130397","その他珍味","ソノタチンミ"
"1304","アイスクリーム類","アイスクリ-ムルイ"
"130401","プレミアムアイス","プレミアムアイス"
"130403","ファミリーアイス","フアミリ-アイス"
"130497","パーソナルアイスその他","パ-ソナルアイスソノタ"
"1397","その他菓子類","ソノタカシルイ"
"139797","その他菓子類","ソノタカシルイ"
"14","飲料・酒類","インリヨウ,サケルイ"
"1401","嗜好飲料","シコウインリヨウ"
"140101","インスタントコーヒー","インスタントコ-ヒ-"
"140103","レギュラーコーヒー","レギユラ-コ-ヒ-"
