"1","食 品"
"11","加工食品"
"1101","調味料"
"110101","醤油"
"110103","砂糖"
"110105","低カロリー甘味料"
"110107","味噌"
"110109","食塩"
"110111","食酢"
"110113","合わせ酢(和風)"
"110115","みりん風調味料"
"110117","料理用日本酒"
"110119","料理用ワイン"
"110121","風味調味料"
"110123","液体たし"
"110125","単一・複合調味料"
"110129","ソース"
"110131","ケチャッフ"
"110133","焼き肉のたれ"
"110135","その他のたれ"
"110137","マヨネース"
"110139","トレッシンク"
"110141","香辛料(からし・わさひ以外)"
"110142","からし・わさひ"
"110143","つゆ"
"110149","中華調味料"
"110197","その他調味料"
"1102","食用油"
"110203","コマ油"
"110205","サラタ油・天ふら油"
"110207","動物性油脂"
"110209","オリーフ油"
"110211","香味油"
"110297","その他食用油"
"1103","スフレット類"
"110301","ヒーナッツ・チョコクリーム"
"110303","シャム・マーマレート"
"110397","その他スフレット類"
"1104","乳製品"
"110401","ハター"
"110403","マーカリン・ファットスフレット類"
"110405","チース"
"110407","インスタントクリームハウター"
"110409","スキムミルク"
"110411","練りミルク"
"110413","フレッシュクリーム"
"110415","ホイッフクリーム"
"110497","その他乳製品"
"1105","調理品"
"110501","インスタントカレー"
"110502","調理済みカレー"
"110503","インスタントシチュー"
"110504","調理済みシチュー"
"110505","ソースミックス"
"110507","中華料理の素"
"110509","ませ御飯の素"
"110511","米飯加工品"
"110513","レンシ専用食品"
"110515","ふりかけ"
"110517","お茶漬の素"
"110597","その他調理品"
"1106","スーフ"
"110601","調理用スーフ"
"110603","インスタントスーフ"
"110605","インスタント味噌汁・吸物"
"110697","その他スーフ"
"1107","冷凍食品"
"110701","冷凍水産素材"
"110703","冷凍畜産素材"
"110705","冷凍農産素材"
"110707","冷凍調理"
"110721","冷凍ヒサ・クラタン類"
"110723","冷凍麺"
"110725","冷凍米飯加工品"
"110791","氷"
"110797","その他冷凍食品"
"1108","缶詰"
"110801","水産缶詰(マクロ・カツオ以外)"
"110802","マクロ・カツオ缶詰"
"110803","野菜缶詰"
"110805","果実・テサート缶詰"
"110807","畜産缶詰"
"110897","その他缶詰"
"1110","粉類"
"111001","小麦粉"
"111003","天ふら粉"
"111005","ハン粉"
"111007","唐揚け粉類"
"111009","片栗粉"
"111011","きな粉"
"111015","米粉"
"111097","その他粉類"
"1111","ホームメイキンク材料"
"111101","フレミックス"
"111105","蜂蜜"
"111107","水飴"
"111109","シロッフ"
"111111","生地・皮"
"111113","テサートの素"
"111197","その他ホームメイキンク材料"
"1112","麺類"
"111201","インスタント袋麺"
"111203","カッフ麺"
